尝试连接考勤机...
状态更新: ??? ??????
状态更新: ???? ???????
状态更新: ?????
Firmware Version: Ver 6.60 Oct 12 2021
状态更新: ?????
考勤机连接成功！

获取员工信息...
状态更新: ??? ???????
状态更新: ?????
状态更新: ??? ????
状态更新: ??? ??????
状态更新: ???? ???????
状态更新: ?????
Firmware Version: Ver 6.60 Oct 12 2021
状态更新: ?????
员工信息：
  工号: 304837, 姓名: 胡颂云, 权限: 0, 是否启用: true
  工号: 304843, 姓名: 李雪峰, 权限: 0, 是否启用: true
  工号: 304919, 姓名: 吴小霞, 权限: 0, 是否启用: true
  工号: 304920, 姓名: 张小健, 权限: 0, 是否启用: true
  工号: 306446, 姓名: 张家铭, 权限: 0, 是否启用: true
  工号: 305744, 姓名: 梁剑飞, 权限: 0, 是否启用: true
  工号: 305845, 姓名: 文凌嘉, 权限: 0, 是否启用: true
  工号: 306065, 姓名: 毛金平, 权限: 0, 是否启用: true
  工号: 306360, 姓名: 宋能, 权限: 0, 是否启用: true
  工号: 306169, 姓名: 魏水丹, 权限: 0, 是否启用: true
  工号: 306376, 姓名: 林明华, 权限: 0, 是否启用: true
  工号: 300021, 姓名: 杨清勇, 权限: 0, 是否启用: true
  工号: 300059, 姓名: 王记芳, 权限: 0, 是否启用: true
  工号: 305579, 姓名: 李石兰, 权限: 0, 是否启用: true
  工号: 305728, 姓名: 马校峰, 权限: 0, 是否启用: true
  工号: 305734, 姓名: 孟令权, 权限: 0, 是否启用: true
  工号: 300012, 姓名: 汤荣, 权限: 0, 是否启用: true
  工号: 300023, 姓名: 彭云云, 权限: 0, 是否启用: true
  工号: 300029, 姓名: 陈圣琼, 权限: 0, 是否启用: true
  工号: 300033, 姓名: 张真桥, 权限: 0, 是否启用: true
  工号: 300035, 姓名: 胡秀兰, 权限: 0, 是否启用: true
  工号: 303964, 姓名: 寸财早, 权限: 0, 是否启用: true
  工号: 300043, 姓名: 王诚喜, 权限: 0, 是否启用: true
  工号: 300047, 姓名: 王青杨, 权限: 0, 是否启用: true
  工号: 300048, 姓名: 胡家山, 权限: 0, 是否启用: true
  工号: 300049, 姓名: 唐小娟, 权限: 0, 是否启用: true
  工号: 300050, 姓名: 喻永武, 权限: 0, 是否启用: true
  工号: 300051, 姓名: 李年华, 权限: 0, 是否启用: true
  工号: 300058, 姓名: 范富恒, 权限: 0, 是否启用: true
  工号: 300063, 姓名: 廖书成, 权限: 0, 是否启用: true
  工号: 300065, 姓名: 龙永在, 权限: 0, 是否启用: true
  工号: 300079, 姓名: 马敏花, 权限: 0, 是否启用: true
  工号: 300084, 姓名: 梁建, 权限: 0, 是否启用: true
  工号: 304345, 姓名: 杨越权, 权限: 0, 是否启用: true
  工号: 300113, 姓名: 温知培, 权限: 0, 是否启用: true
  工号: 300139, 姓名: 余亚忠, 权限: 0, 是否启用: true
  工号: 304282, 姓名: 吕吉忠, 权限: 0, 是否启用: true
  工号: 300180, 姓名: 于瑞文, 权限: 0, 是否启用: true
  工号: 300199, 姓名: 莫伯昌, 权限: 0, 是否启用: true
  工号: 300202, 姓名: 罗开武, 权限: 0, 是否启用: true
